Order ID,Employee,Customer,Order Date,Shipped Date,Ship Via,Ship Name,Ship Address,Ship City,Ship State/Province,Ship ZIP/Postal Code,Ship Country/Region,Shipping Fee,Taxes,Payment Type,Paid Date,Notes,Tax Rate,Tax Status,Status ID,Delivery Days
47,Michael Neipper,Company F,2006-04-08 00:00:00,2006-04-08,Shipping Company B,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,300,0,Credit Card,2006-04-08,,0,,Closed,0.0
48,Mariya Sergienko,Company H,2006-04-05 00:00:00,2006-04-05,Shipping Company B,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,50,0,Check,2006-04-05,,0,,Closed,0.0
50,Anne Hellung-Larsen,Company Y,2006-04-05 00:00:00,2006-04-05,Shipping Company A,John Rodman,789 25th Street,Chicago,IL,99999,USA,5,0,Cash,2006-04-05,,0,,Closed,0.0
51,Anne Hellung-Larsen,Company Z,2006-04-05 00:00:00,2006-04-05,Shipping Company C,Run Liu,789 26th Street,Miami,FL,99999,USA,60,0,Credit Card,2006-04-05,,0,,Closed,0.0
55,Nancy Freehafer,Company CC,2006-04-05 00:00:00,2006-04-05,Shipping Company B,Soo Jung Lee,789 29th Street,Denver,CO,99999,USA,200,0,Check,2006-04-05,,0,,Closed,0.0
56,Andrew Cencini,Company F,2006-04-03 00:00:00,2006-04-03,Shipping Company C,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,0,0,Check,2006-04-03,,0,,Closed,0.0
57,Anne Hellung-Larsen,Company AA,2006-04-22 00:00:00,2006-04-22,Shipping Company B,Karen Toh,789 27th Street,Las Vegas,NV,99999,USA,200,0,Check,2006-04-22,,0,,New,0.0
58,Jan Kotas,Company D,2006-04-22 00:00:00,2006-04-22,Shipping Company A,Christina Lee,123 4th Street,New York,NY,99999,USA,5,0,Credit Card,2006-04-22,,0,,Closed,0.0
59,Mariya Sergienko,Company L,2006-04-22 00:00:00,2006-04-22,Shipping Company B,John Edwards,123 12th Street,Las Vegas,NV,99999,USA,5,0,Credit Card,2006-04-22,,0,,New,0.0
60,Michael Neipper,Company H,2006-04-30 00:00:00,2006-04-30,Shipping Company C,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,50,0,Credit Card,2006-04-30,,0,,Closed,0.0
61,Anne Hellung-Larsen,Company D,2006-04-07 00:00:00,2006-04-07,Shipping Company C,Christina Lee,123 4th Street,New York,NY,99999,USA,4,0,Check,2006-04-07,,0,,New,0.0
62,Jan Kotas,Company CC,2006-04-12 00:00:00,2006-04-12,Shipping Company B,Soo Jung Lee,789 29th Street,Denver,CO,99999,USA,7,0,Check,2006-04-12,,0,,New,0.0
63,Mariya Sergienko,Company C,2006-04-25 00:00:00,2006-04-25,Shipping Company B,Thomas Axen,123 3rd Street,Los Angelas,CA,99999,USA,7,0,Cash,2006-04-25,,0,,Closed,0.0
64,Laura Giussani,Company F,2006-05-09 00:00:00,2006-05-09,Shipping Company B,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,12,0,Credit Card,2006-05-09,,0,,New,0.0
65,Anne Hellung-Larsen,Company BB,2006-05-11 00:00:00,2006-05-11,Shipping Company C,Amritansh Raghav,789 28th Street,Memphis,TN,99999,USA,10,0,Check,2006-05-11,,0,,New,0.0
66,Jan Kotas,Company H,2006-05-24 00:00:00,2006-05-24,Shipping Company C,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,5,0,Check,2006-05-24,,0,,New,0.0
67,Mariya Sergienko,Company J,2006-05-24 00:00:00,2006-05-24,Shipping Company B,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,9,0,Credit Card,2006-05-24,,0,,Closed,0.0
68,Nancy Freehafer,Company G,2006-05-24 00:00:00,,,Ming-Yang Xie,123 7th Street,Boise,ID,99999,USA,0,0,,,,0,,New,
69,Nancy Freehafer,Company J,2006-05-24 00:00:00,,Shipping Company A,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,0,0,,,,0,,New,
70,Nancy Freehafer,Company K,2006-05-24 00:00:00,,Shipping Company C,Peter Krschne,123 11th Street,Miami,FL,99999,USA,0,0,,,,0,,New,
71,Nancy Freehafer,Company A,2006-05-24 00:00:00,,Shipping Company C,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,0,0,,,,0,,New,
72,Nancy Freehafer,Company BB,2006-06-07 00:00:00,2006-06-07,Shipping Company C,Amritansh Raghav,789 28th Street,Memphis,TN,99999,USA,40,0,Credit Card,2006-06-07,,0,,Closed,0.0
73,Robert Zare,Company I,2006-06-05 00:00:00,2006-06-05,Shipping Company A,Sven Mortensen,123 9th Street,Salt Lake City,UT,99999,USA,100,0,Check,2006-06-05,,0,,Closed,0.0
74,Michael Neipper,Company F,2006-06-08 00:00:00,2006-06-08,Shipping Company B,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,300,0,Credit Card,2006-06-08,,0,,Closed,0.0
75,Mariya Sergienko,Company H,2006-06-05 00:00:00,2006-06-05,Shipping Company B,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,50,0,Check,2006-06-05,,0,,Closed,0.0
76,Anne Hellung-Larsen,Company Y,2006-06-05 00:00:00,2006-06-05,Shipping Company A,John Rodman,789 25th Street,Chicago,IL,99999,USA,5,0,Cash,2006-06-05,,0,,Closed,0.0
77,Anne Hellung-Larsen,Company Z,2006-06-05 00:00:00,2006-06-05,Shipping Company C,Run Liu,789 26th Street,Miami,FL,99999,USA,60,0,Credit Card,2006-06-05,,0,,Closed,0.0
78,Nancy Freehafer,Company CC,2006-06-05 00:00:00,2006-06-05,Shipping Company B,Soo Jung Lee,789 29th Street,Denver,CO,99999,USA,200,0,Check,2006-06-05,,0,,Closed,0.0
79,Andrew Cencini,Company F,2006-06-23 00:00:00,2006-06-23,Shipping Company C,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,0,0,Check,2006-06-23,,0,,Closed,0.0
80,Andrew Cencini,Company D,2006-04-25 17:03:55,,,Christina Lee,123 4th Street,New York,NY,99999,USA,0,0,,,,0,,New,
81,Andrew Cencini,Company C,2006-04-25 17:26:53,,,Thomas Axen,123 3rd Street,Los Angelas,CA,99999,USA,0,0,,,,0,,New,
